Frequency (Hz)	Level (dB)
1512.707520	-45.487614
1518.090820	-42.887863
1523.474121	-41.079636
1528.857422	-42.275341
1534.240723	-42.716930
1539.624023	-42.078686
1545.007324	-42.361938
1550.390625	-41.574615
1555.773926	-40.709934
1561.157227	-40.767941
1566.540527	-42.260777
1571.923828	-41.621071
1577.307129	-43.545082
1582.690430	-40.084003
1588.073730	-35.339066
1593.457031	-43.806175
1598.840332	-36.913822
1604.223633	-41.863174
1609.606934	-46.585651
1614.990234	-51.660919
1620.373535	-66.584938
1625.756836	-50.882553
1631.140137	-57.308266
1636.523438	-53.575970
1641.906738	-52.261871
1647.290039	-58.314011
1652.673340	-55.831093
1658.056641	-55.315475
1663.439941	-54.031750
1668.823242	-57.444248
1674.206543	-56.370361
1679.589844	-52.801926
1684.973145	-57.580597
1690.356445	-62.265453
1695.739746	-57.549225
1701.123047	-55.640556
1706.506348	-53.183769
1711.889648	-52.307018
1717.272949	-53.626759
1722.656250	-49.664375
1728.039551	-50.317173
1733.422852	-46.182362
1738.806152	-43.511463
1744.189453	-50.041142
1749.572754	-46.240028
1754.956055	-45.561581
1760.339355	-50.080761
1765.722656	-45.840374
1771.105957	-41.400723
1776.489258	-44.215221
1781.872559	-46.798729
1787.255859	-53.692673
1792.639160	-53.145508
1798.022461	-51.668789
1803.405762	-59.634354
1808.789063	-56.630558
1814.172363	-56.369312
1819.555664	-56.721043
1824.938965	-60.522297
1830.322266	-63.896618
1835.705566	-60.510323
1841.088867	-67.563011
1846.472168	-69.820244
1851.855469	-56.820240
1857.238770	-56.936359
1862.622070	-59.777836
1868.005371	-61.161110
1873.388672	-68.999611
1878.771973	-65.921997
1884.155273	-62.045151
1889.538574	-67.230721
1894.921875	-76.834206
1900.305176	-62.413628
1905.688477	-62.178093
1911.071777	-67.756104
1916.455078	-65.942299
1921.838379	-60.380943
1927.221680	-68.166763
1932.604980	-70.620773
1937.988281	-67.926849
1943.371582	-61.333416
1948.754883	-62.859020
1954.138184	-56.144974
1959.521484	-60.531395
1964.904785	-77.976082
1970.288086	-65.738129
1975.671387	-66.127586
1981.054688	-60.892662
1986.437988	-60.065369
1991.821289	-62.950462
1997.204590	-62.404140
2002.587891	-60.187737
2007.971191	-59.219021
2013.354492	-55.580547
2018.737793	-57.319389
2024.121094	-56.145584
2029.504395	-55.538864
2034.887695	-61.195885
2040.270996	-57.589127
2045.654297	-53.321121
2051.037598	-55.121151
2056.420898	-55.967064
2061.804199	-52.702709
2067.187500	-52.610031
2072.570801	-54.967201
