Frequency (Hz)	Level (dB)
1512.707520	-48.602577
1518.090820	-46.466869
1523.474121	-46.663101
1528.857422	-50.363770
1534.240723	-51.521164
1539.624023	-49.220901
1545.007324	-51.923489
1550.390625	-49.936607
1555.773926	-50.223804
1561.157227	-49.357594
1566.540527	-54.314922
1571.923828	-48.166813
1577.307129	-47.485943
1582.690430	-42.718548
1588.073730	-38.965336
1593.457031	-39.765709
1598.840332	-39.997192
1604.223633	-40.130104
1609.606934	-43.450073
1614.990234	-50.283905
1620.373535	-48.643814
1625.756836	-48.013779
1631.140137	-47.914429
1636.523438	-46.481030
1641.906738	-46.367180
1647.290039	-48.587578
1652.673340	-50.437988
1658.056641	-51.031284
1663.439941	-52.669914
1668.823242	-55.742424
1674.206543	-56.641685
1679.589844	-56.193954
1684.973145	-62.279266
1690.356445	-60.242176
1695.739746	-56.124996
1701.123047	-56.993393
1706.506348	-58.473240
1711.889648	-57.921364
1717.272949	-62.812256
1722.656250	-53.585304
1728.039551	-54.599430
1733.422852	-50.102249
1738.806152	-46.968491
1744.189453	-49.646423
1749.572754	-48.576500
1754.956055	-48.417080
1760.339355	-52.152088
1765.722656	-46.425495
1771.105957	-43.166714
1776.489258	-43.675831
1781.872559	-46.098843
1787.255859	-49.741081
1792.639160	-53.616428
1798.022461	-54.805206
1803.405762	-54.214767
1808.789063	-57.563759
1814.172363	-58.959148
1819.555664	-56.425014
1824.938965	-59.043636
1830.322266	-61.964924
1835.705566	-60.214405
1841.088867	-63.436371
1846.472168	-64.153397
1851.855469	-60.024616
1857.238770	-60.956524
1862.622070	-65.175301
1868.005371	-64.939674
1873.388672	-69.089737
1878.771973	-68.856087
1884.155273	-63.759045
1889.538574	-63.870209
1894.921875	-64.310989
1900.305176	-62.375980
1905.688477	-62.071793
1911.071777	-63.666702
1916.455078	-66.347939
1921.838379	-64.464767
1927.221680	-66.286263
1932.604980	-67.634232
1937.988281	-64.917252
1943.371582	-60.418171
1948.754883	-56.809155
1954.138184	-54.977375
1959.521484	-56.933495
1964.904785	-62.272537
1970.288086	-67.924995
1975.671387	-68.920380
1981.054688	-61.690075
1986.437988	-63.060993
1991.821289	-59.964298
1997.204590	-57.820190
2002.587891	-60.185589
2007.971191	-58.496120
2013.354492	-56.759880
2018.737793	-59.249134
2024.121094	-59.642628
