Frequency (Hz)	Level (dB)
780.578613	-23.759954
783.270264	-22.505840
785.961914	-22.021427
788.653564	-23.066307
791.345215	-24.641212
794.036865	-24.810822
796.728516	-23.869137
799.420166	-23.212374
802.111816	-23.353008
804.803467	-24.819078
807.495117	-27.751680
810.186768	-29.392233
812.878418	-27.570417
815.570068	-25.530281
818.261719	-24.616413
820.953369	-25.139429
823.645020	-26.679291
826.336670	-27.531765
829.028320	-26.689800
831.719971	-25.795328
834.411621	-26.016157
837.103271	-26.722492
839.794922	-26.584757
842.486572	-26.084211
845.178223	-26.266294
847.869873	-26.872421
850.561523	-26.859825
853.253174	-26.076723
855.944824	-25.393644
858.636475	-24.850153
861.328125	-24.049717
864.019775	-23.584568
866.711426	-24.362238
869.403076	-25.933372
872.094727	-26.691303
874.786377	-26.755367
877.478027	-28.011305
880.169678	-30.827429
882.861328	-32.687721
885.552979	-34.211819
888.244629	-38.293808
890.936279	-43.437473
893.627930	-40.938362
896.319580	-39.710358
899.011230	-43.165195
901.702881	-45.283760
904.394531	-40.122536
907.086182	-40.181789
909.777832	-45.076984
912.469482	-48.349506
915.161133	-44.622776
917.852783	-44.288113
920.544434	-44.184029
923.236084	-42.720421
925.927734	-43.191051
928.619385	-44.514603
931.311035	-42.841202
934.002686	-40.012955
936.694336	-39.201309
939.385986	-40.100933
942.077637	-41.626194
944.769287	-42.917622
947.460938	-42.252476
950.152588	-41.758163
952.844238	-42.962517
955.535889	-44.422066
958.227539	-44.018734
960.919189	-44.125961
963.610840	-46.422741
966.302490	-50.273365
968.994141	-51.001621
971.685791	-51.081192
974.377441	-56.130005
977.069092	-69.370293
979.760742	-55.783096
982.452393	-54.117195
985.144043	-55.503521
987.835693	-60.294632
990.527344	-63.260387
993.218994	-57.736828
995.910645	-56.098038
998.602295	-56.935265
1001.293945	-61.488125
1003.985596	-53.756844
1006.677246	-46.979683
1009.368896	-44.124222
1012.060547	-44.253021
1014.752197	-46.638893
1017.443848	-49.930626
1020.135498	-48.681221
1022.827148	-44.897957
1025.518799	-43.583282
1028.210449	-42.771252
1030.902100	-41.697861
1033.593750	-42.367405
1036.285400	-44.715401
1038.977051	-45.043316
1041.668701	-42.255337
1044.360352	-39.304958
1047.052002	-38.931660
1049.743652	-41.410435
1052.435303	-44.055271
1055.126953	-43.505207
1057.818604	-43.072304
1060.510254	-44.843575
1063.201904	-47.446491
1065.893555	-48.564793
1068.585205	-44.546062
1071.276855	-40.098541
1073.968506	-38.213486
1076.660156	-37.723095
1079.351807	-34.910202
1082.043457	-31.699823
1084.735107	-31.176003
1087.426758	-34.209938
1090.118408	-37.221546
1092.810059	-32.959293
1095.501709	-31.510933
1098.193359	-34.037605
1100.885010	-42.530643
1103.576660	-46.392677
1106.268311	-39.225086
1108.959961	-37.989250
1111.651611	-39.906898
1114.343262	-43.490185
1117.034912	-40.503979
1119.726563	-38.122120
1122.418213	-39.235992
1125.109863	-42.906025
1127.801514	-46.484264
1130.493164	-45.990051
1133.184814	-43.743706
1135.876465	-43.644440
1138.568115	-45.124424
1141.259766	-45.791985
1143.951416	-45.282204
1146.643066	-44.046051
1149.334717	-43.099640
1152.026367	-42.625679
1154.718018	-43.225216
1157.409668	-45.166023
1160.101318	-44.927540
1162.792969	-43.033562
1165.484619	-42.258865
1168.176270	-41.879711
1170.867920	-41.638397
1173.559570	-42.429073
1176.251221	-43.466785
1178.942871	-43.210583
1181.634521	-43.257298
1184.326172	-44.254097
1187.017822	-45.863655
1189.709473	-46.895504
1192.401123	-45.799488
1195.092773	-43.980774
1197.784424	-42.883476
1200.476074	-43.081661
1203.167725	-44.793003
1205.859375	-46.967228
1208.551025	-47.327087
1211.242676	-46.714382
1213.934326	-46.103848
1216.625977	-46.578136
1219.317627	-49.701241
1222.009277	-55.586418
1224.700928	-56.629017
1227.392578	-51.743210
1230.084229	-48.493057
1232.775879	-48.428452
1235.467529	-51.470852
1238.159180	-55.647358
1240.850830	-54.495438
1243.542480	-49.928947
1246.234131	-46.681797
1248.925781	-45.618587
1251.617432	-48.024426
1254.309082	-53.301884
1257.000732	-50.708477
1259.692383	-48.740200
1262.384033	-46.190338
1265.075684	-44.314972
1267.767334	-46.657230
1270.458984	-57.425098
1273.150635	-43.674770
1275.842285	-39.510616
1278.533936	-39.390774
1281.225586	-42.152641
1283.917236	-45.597477
1286.608887	-46.425728
1289.300537	-50.765400
1291.992188	-43.240314
1294.683838	-36.878986
1297.375488	-35.113220
1300.067139	-36.772545
1302.758789	-43.252865
1305.450439	-48.694607
1308.142090	-41.463146
1310.833740	-38.990143
1313.525391	-38.385227
1316.217041	-40.801521
1318.908691	-48.374886
1321.600342	-43.316113
1324.291992	-38.976967
1326.983643	-38.583454
1329.675293	-40.693214
1332.366943	-44.281853
1335.058594	-45.839409
1337.750244	-44.828636
1340.441895	-43.870861
1343.133545	-42.560890
1345.825195	-42.316566
1348.516846	-42.265324
1351.208496	-42.056602
1353.900146	-42.644310
1356.591797	-43.111477
1359.283447	-42.062801
1361.975098	-40.715458
1364.666748	-39.478119
1367.358398	-38.155052
1370.050049	-37.320538
1372.741699	-37.013130
1375.433350	-36.528782
1378.125000	-36.172802
1380.816650	-36.522221
1383.508301	-36.863167
1386.199951	-36.551414
1388.891602	-36.570751
1391.583252	-38.103706
1394.274902	-40.727684
1396.966553	-42.626320
1399.658203	-43.327953
1402.349854	-44.902569
1405.041504	-49.668316
1407.733154	-49.026527
1410.424805	-48.954220
1413.116455	-53.975689
1415.808105	-54.131714
1418.499756	-45.051601
1421.191406	-39.115112
1423.883057	-37.423851
1426.574707	-39.949543
1429.266357	-45.399708
1431.958008	-41.350567
1434.649658	-38.986897
1437.341309	-39.771660
1440.032959	-40.319431
1442.724609	-41.755699
1445.416260	-48.740253
1448.107910	-46.212502
1450.799561	-38.286373
1453.491211	-34.753349
1456.182861	-34.060703
1458.874512	-36.527481
1461.566162	-42.358822
1464.257813	-54.549503
1466.949463	-50.211086
1469.641113	-44.394352
1472.332764	-43.570919
1475.024414	-41.625248
1477.716064	-41.091179
1480.407715	-42.492886
1483.099365	-46.115505
1485.791016	-49.265423
1488.482666	-40.716412
1491.174316	-37.344727
1493.865967	-36.205956
1496.557617	-36.979446
1499.249268	-40.001789
1501.940918	-42.994827
1504.632568	-44.663815
1507.324219	-45.221558
1510.015869	-37.160408
1512.707520	-32.751354
1515.399170	-31.412989
1518.090820	-31.823359
1520.782471	-33.503838
1523.474121	-35.931175
1526.165771	-36.041523
1528.857422	-34.567379
1531.549072	-33.959995
1534.240723	-34.841934
1536.932373	-37.741474
1539.624023	-42.912113
1542.315674	-47.273834
1545.007324	-46.102665
1547.698975	-44.132805
1550.390625	-43.841118
1553.082275	-46.837105
1555.773926	-57.146439
1558.465576	-54.976761
1561.157227	-48.030300
1563.848877	-46.400352
1566.540527	-47.746529
1569.232178	-49.533077
1571.923828	-47.016502
1574.615479	-45.169697
1577.307129	-46.128490
1579.998779	-48.961117
1582.690430	-49.658455
1585.382080	-47.914440
1588.073730	-46.246941
1590.765381	-45.850441
1593.457031	-46.540146
1596.148682	-45.261349
1598.840332	-44.259758
1601.531982	-45.291782
1604.223633	-46.702168
1606.915283	-48.030262
1609.606934	-50.321487
1612.298584	-52.623333
1614.990234	-54.144196
1617.681885	-52.501389
1620.373535	-48.061573
1623.065186	-44.268707
1625.756836	-44.092243
1628.448486	-48.449787
1631.140137	-57.556248
1633.831787	-53.321838
1636.523438	-52.586548
1639.215088	-53.011162
1641.906738	-51.308384
1644.598389	-54.060604
1647.290039	-63.135471
1649.981689	-56.269794
1652.673340	-53.417450
1655.364990	-56.499378
1658.056641	-63.118374
1660.748291	-51.747864
1663.439941	-47.340591
1666.131592	-46.484238
1668.823242	-47.195667
1671.514893	-47.546806
1674.206543	-48.523449
1676.898193	-52.145630
1679.589844	-57.755283
1682.281494	-51.565243
1684.973145	-46.780468
1687.664795	-45.682827
1690.356445	-47.602787
1693.048096	-50.315235
1695.739746	-49.322414
1698.431396	-48.216602
1701.123047	-50.339657
1703.814697	-54.139885
1706.506348	-49.750099
1709.197998	-46.230125
1711.889648	-46.325344
1714.581299	-50.527218
1717.272949	-62.967175
1719.964600	-56.199158
1722.656250	-52.287514
1725.347900	-52.335228
1728.039551	-54.392685
1730.731201	-57.848873
1733.422852	-55.562740
1736.114502	-50.868038
1738.806152	-48.589569
1741.497803	-48.103725
1744.189453	-49.320530
1746.881104	-52.670128
1749.572754	-56.802551
